#r n s p q b c T nloop nnorth e00 e01 e02 e10 e11 e12 e20 e21 e22 
1.000000000000000056e-01 0.000000000000000000e+00 nan nan 8.268324645964518396e-09 8.268324645964519223e-10 nan nan 7.000000000000000000e+00 0.000000000000000000e+00 5.622619004313286206e-01 -5.847484738429636897e-01 5.847484738429638007e-01 -6.752194422819862707e-01 8.360922102690371283e-02 7.328630178441788434e-01 -4.774308956150133953e-01 -8.068944915523955652e-01 -3.478232588753189525e-01
1.167798623737652253e-01 0.000000000000000000e+00 nan nan 1.088116898114120937e-08 1.270701416083353653e-09 nan nan 1.000000000000000000e+01 0.000000000000000000e+00 7.731152541452993576e-01 -5.164637305388227739e-01 3.681820457949728786e-01 4.722899435718277417e-01 8.562243221557369610e-01 2.093373338653884419e-01 4.233615629798826441e-01 -1.204679155922872003e-02 -9.058807105818952321e-01
1.363753625603554565e-01 0.000000000000000000e+00 3.573457228634888821e-02 1.459450693366494689e-01 2.448494659584589395e-01 3.339143469279425014e-02 4.873315251490060139e-03 9.412506781625132879e-01 1.900000000000000000e+01 0.000000000000000000e+00 -9.380370209502351120e-01 2.295058031965024059e-01 -2.596413557697177521e-01 -6.769075485586967256e-02 -8.561691123773578216e-01 -5.122425331012741001e-01 3.398595430966318554e-01 4.629271403904678950e-01 -8.186537446662374151e-01
1.592589607097064375e-01 6.000000000000000000e+01 6.467212149663781329e-01 9.366996998602623581e-01 6.904253466322841648e-01 1.099564231522963953e-01 1.029961485644640268e-01 8.995467784846594705e-01 1.800000000000000000e+01 0.000000000000000000e+00 -9.923246869943125326e-01 4.961666991830206846e-02 -1.132691557656293202e-01 -1.154672119292354665e-01 -4.392683737628649832e-02 9.923395366140598250e-01 4.426102744999456384e-02 9.978018936764629920e-01 4.931878369075298751e-02
1.859823951346839810e-01 7.100000000000000000e+01 5.721320985221824973e-01 9.561844869240165856e-01 5.983490700238134341e-01 1.112823931696395596e-01 1.064064980165884966e-01 9.543807426554151707e-01 2.500000000000000000e+01 0.000000000000000000e+00 -9.992711967781655602e-01 -2.474752113668000561e-03 -3.809134930018029386e-02 -3.479603941933673977e-02 -3.512296893363165418e-01 9.356425284099915141e-01 -1.569429610592374194e-02 9.362860572125863978e-01 3.508876004350239830e-01
2.171899850777161967e-01 9.900000000000000000e+01 5.060587464240748901e-01 8.719790771931681395e-01 5.803565242104639088e-01 1.260476248330258953e-01 1.099108915842925832e-01 8.914938201605572266e-01 1.000000000000000000e+03 0.000000000000000000e+00 -9.860579202778936292e-01 -1.646256088383346583e-01 2.425256217067997197e-02 -1.646076549442740400e-01 9.863552937569217693e-01 2.748528959808871353e-03 2.437412133763738192e-02 1.281948635373147960e-03 9.997020850316929996e-01
2.536341656633582242e-01 5.160000000000000000e+02 9.252792120569930390e-01 9.580440236879268490e-01 9.658003068535329083e-01 2.449599550262111791e-01 2.346824209557249463e-01 4.673329937774642340e-01 1.000000000000000000e+03 0.000000000000000000e+00 9.848312836692990624e-02 9.734553083021415532e-01 2.066055085554244497e-01 8.207685247460527744e-01 -1.968540053703709269e-01 5.362718800718812018e-01 5.627078302398595966e-01 1.167615660567497826e-01 -8.183682755817971444e-01
2.961936295945173936e-01 8.220000000000000000e+02 9.608935083658501908e-01 9.726792356358225922e-01 9.878832334050307029e-01 2.926047205178038402e-01 2.846105358966909415e-01 3.141049267132098866e-01 1.000000000000000000e+03 0.000000000000000000e+00 2.923354203855516031e-01 5.354226856558774728e-01 7.923777821677299160e-01 9.130468202754841167e-01 9.014629056703959975e-02 -3.977677089481123085e-01 2.844037727823424677e-01 -8.397596048763301679e-01 4.625130268923454135e-01
3.458945130003373558e-01 1.115000000000000000e+03 8.076845325574375511e-01 8.476162341959020408e-01 9.528894091129035404e-01 3.295992181082870176e-01 2.793736480468599903e-01 2.646423502264032557e-01 1.000000000000000000e+03 0.000000000000000000e+00 1.401745335725390895e-01 -9.895821148513408438e-01 -3.283805877436579701e-02 -9.896839970282691468e-01 -1.410265500820752083e-01 2.524080422840846438e-02 2.960888656923843509e-02 -2.896118330275061770e-02 9.991419136928618716e-01
4.039351362401994439e-01 1.507000000000000000e+03 6.846819221522147947e-01 7.226108813564704469e-01 9.475112260514867435e-01 3.827330761842256956e-01 2.765670855057565380e-01 1.924330273271818437e-01 3.800000000000000000e+01 0.000000000000000000e+00 -7.253609300222557676e-01 -6.854871598784264553e-01 -6.291959026453027015e-02 -6.858925344117949852e-01 7.274720408721865317e-01 -1.832651050854416930e-02 -5.833483037956360695e-02 -2.986274252415033192e-02 9.978503215279952432e-01
4.717148961805858742e-01 2.300000000000000000e+03 6.648815771085567761e-01 7.016706869713942307e-01 9.475692649758116204e-01 4.469825374519790229e-01 3.136345441181470628e-01 1.830194336989965365e-01 3.600000000000000000e+01 0.000000000000000000e+00 -7.741901411745082395e-01 -6.314775591529755427e-01 -4.319395321564390572e-02 -6.313876478841915496e-01 7.752716281418335909e-01 -1.742241939510580373e-02 -4.448891330953541612e-02 -1.378386319254670811e-02 9.989147820049645299e-01
5.508680065562376882e-01 2.665000000000000000e+03 4.706303157540984161e-01 4.940987107799572620e-01 9.525026183759659482e-01 5.247032186243651974e-01 2.592551838643928908e-01 1.191238477913798971e-01 4.700000000000000000e+01 0.000000000000000000e+00 -7.663130424550268494e-01 -6.421754635406435874e-01 -1.936478736467558970e-02 -6.421660077063900962e-01 7.665286667810529142e-01 -7.524729184370693158e-03 -1.967586109313440579e-02 -6.669110077131668035e-03 9.997841684388798500e-01
6.433028999174784657e-01 3.652000000000000000e+03 3.991574194150956933e-01 4.063229104238264000e-01 9.823650332656443940e-01 6.319582746773192428e-01 2.567791254333082751e-01 4.158445278274002649e-02 1.280000000000000000e+02 0.000000000000000000e+00 -3.860274796988509838e-01 -9.224103016605714744e-01 -1.191722735400625732e-02 -9.224374965781536595e-01 3.861086475053197575e-01 -5.401594971955470115e-03 -9.583831383198404552e-03 -8.907733273204293534e-03 9.999143975680877539e-01
7.512482411700718288e-01 5.925000000000000000e+03 4.265694798607635452e-01 4.376871122207542930e-01 9.745991324634128983e-01 7.321658841090168401e-01 3.204595714822309760e-01 6.131316838786407541e-02 8.000000000000000000e+01 0.000000000000000000e+00 -6.929868995410709553e-02 9.975737404954503340e-01 6.657615531140477494e-03 -9.975942021062877973e-01 -6.930953935318373560e-02 1.412684879394388027e-03 -1.870693604932971432e-03 6.543701442258603729e-03 -9.999768399702420041e-01
8.773066621237417539e-01 1.033800000000000000e+04 4.811087122535154803e-01 4.912246917296883009e-01 9.794066144343178681e-01 8.592399477712858724e-01 4.220798784657833758e-01 5.303950380277270421e-02 6.500000000000000000e+01 0.000000000000000000e+00 -8.011578517453071813e-02 9.967577690752911224e-01 7.443839998092359467e-03 -9.967791266861866228e-01 -8.013987283049452126e-02 2.995560955119103141e-03 -3.582397045571283911e-03 7.179872614532789576e-03 -9.999678074121421956e-01
1.024517512623979165e+00 1.915500000000000000e+04 5.951808771726533331e-01 6.103129133608915513e-01 9.752061018913910084e-01 9.991157298054946789e-01 6.097732318422848241e-01 7.583789613311538169e-02 4.400000000000000000e+01 0.000000000000000000e+00 -4.620296314623022482e-01 -8.866132163806559330e-01 -2.110981264620232292e-02 -8.866792867279325030e-01 4.622886910585480846e-01 -9.434437292120234630e-03 -1.812352444901244031e-02 -1.435864403496239783e-02 9.997326478629293689e-01
1.196430141237405431e+00 3.071900000000000000e+04 6.427112234491220155e-01 6.572399151282991570e-01 9.778943862891513739e-01 1.169982318703195245e+00 7.689590798460986809e-01 7.449464863025419270e-02 3.700000000000000000e+01 0.000000000000000000e+00 -3.887979812429795956e-01 -9.212945703647951179e-01 -7.241850435594437453e-03 -9.213037035197549907e-01 3.888287289141093561e-01 -3.421323109738361179e-03 -5.967885904323844137e-03 -5.341740108403089660e-03 9.999679245608065203e-01
1.397189472335286675e+00 4.762800000000000000e+04 6.881826939528150611e-01 7.052444851988938224e-01 9.758072674027830073e-01 1.363387641043432463e+00 9.615216150342097423e-01 9.080501713562899591e-02 3.500000000000000000e+01 0.000000000000000000e+00 -5.002470648321610813e-01 -8.658607003692629922e-01 -6.174275897364750118e-03 -8.658753837147731280e-01 5.002594527214749842e-01 -5.475761174635607187e-04 -3.562864521939532181e-03 -5.072230166258240303e-03 9.999807890542392608e-01
1.631635942893884916e+00 7.167100000000000000e+04 7.299496292267766417e-01 7.486100983990879865e-01 9.750731800008881622e-01 1.590964447441287843e+00 1.191012051548473449e+00 1.053833095305247158e-01 2.400000000000000000e+01 0.000000000000000000e+00 -6.504845411187426540e-01 -7.593848586945518564e-01 -1.430028499695869607e-02 -7.594508717913115436e-01 6.505635625574140990e-01 -1.193485660559240324e-03 -1.020955929290554010e-02 -1.008401993556382048e-02 9.998970334194334786e-01
1.905422208552364882e+00 1.025250000000000000e+05 7.476048098940437647e-01 7.652840057796195250e-01 9.768985164304258006e-01 1.861404128708390671e+00 1.424502807992679809e+00 1.035380403482491218e-01 2.100000000000000000e+01 0.000000000000000000e+00 -6.801499776094711569e-01 -7.330254001935530006e-01 -8.352881473911871052e-03 -7.330584561740313143e-01 6.801640888772072513e-01 1.453283724971721202e-03 -4.616036133110415496e-03 -7.111601290870198100e-03 9.999640580228360554e-01
2.225149432786608816e+00 1.424280000000000000e+05 7.573158483924030682e-01 7.717953109798653122e-01 9.812392451969171869e-01 2.183403949877880557e+00 1.685140930490665045e+00 8.715573864909460788e-02 1.900000000000000000e+01 0.000000000000000000e+00 -6.577332317700224085e-01 -7.532317952977335418e-01 -5.371999433642358698e-03 -7.532363259699191849e-01 6.577481763056420849e-01 -1.540716047758600160e-03 -4.693939145290426662e-03 -3.033004971177075126e-03 9.999843837861396301e-01
2.598526445218820591e+00 1.928680000000000000e+05 7.598344548316610103e-01 7.712388259518830891e-01 9.852129188307570118e-01 2.560101823752945371e+00 1.974449924868496575e+00 6.945556217488360606e-02 1.700000000000000000e+01 0.000000000000000000e+00 -6.328636097695236051e-01 -7.742477628405224355e-01 -4.904402709227052501e-03 -7.742561212367820023e-01 6.328723180824107342e-01 -2.961965051564707796e-04 -3.333190192876783753e-03 -3.609811829174844333e-03 9.999879294779991934e-01
3.034555606472431499e+00 2.565070000000000000e+05 7.629192310781566233e-01 7.729050670941318701e-01 9.870801260838945046e-01 2.995349530645396552e+00 2.315120829953856596e+00 6.142496429602765928e-02 1.600000000000000000e+01 0.000000000000000000e+00 -6.604238576506196168e-01 -7.508876575867519110e-01 -2.837944635614605884e-03 -7.508876191967034375e-01 6.604287254468457213e-01 -1.296896973792940888e-03 -2.848084089370372940e-03 -1.274475788440983248e-03 9.999951320523936538e-01
3.543749860893881554e+00 3.392410000000000000e+05 7.708473444463711521e-01 7.787197869692077390e-01 9.898905323139710610e-01 3.507924436187805473e+00 2.731690169652245981e+00 4.957371379457308630e-02 1.500000000000000000e+01 0.000000000000000000e+00 -6.680103086363766707e-01 -7.441512364705759053e-01 1.079265882824812861e-03 -7.441505553593994460e-01 6.680111687249208341e-01 1.014601923602517775e-03 1.475978939724970768e-03 1.253717619557545571e-04 9.999989028834437299e-01
4.138386210422372535e+00 4.423560000000000000e+05 7.744222160807247013e-01 7.807884409821626015e-01 9.918464150244978850e-01 4.104643526794247599e+00 3.204858220073206088e+00 4.057431139136737780e-02 1.400000000000000000e+01 0.000000000000000000e+00 -6.985897466449970672e-01 -7.155218695133679363e-01 9.056106084054728637e-04 -7.155190735498221377e-01 6.985897817439856716e-01 2.184543269181896119e-03 2.195738801268904555e-03 -8.781178654296527275e-04 9.999972038161560883e-01
4.832801721026124042e+00 5.706400000000000000e+05 7.762278084010908463e-01 7.816954883403248733e-01 9.930053581979308985e-01 4.798998004087123626e+00 3.751355088349128231e+00 3.507269713592610361e-02 1.400000000000000000e+01 0.000000000000000000e+00 -7.045092921695373933e-01 -7.096933108304721571e-01 1.435900156867505684e-03 -7.096893451983025125e-01 7.045103776002351603e-01 2.482169530740763186e-03 2.773185674024930547e-03 -7.296684570495606814e-04 9.999958885041275725e-01
5.643739198611263497e+00 7.295120000000000000e+05 7.764719283314747145e-01 7.808604750964893704e-01 9.943798579836271578e-01 5.612020582811697800e+00 4.382205058545619814e+00 2.822700164921078739e-02 1.400000000000000000e+01 0.000000000000000000e+00 -7.412717669104560425e-01 -6.712042670191705751e-01 9.997583252177606045e-04 -6.712028099777594958e-01 7.412723282058196750e-01 1.457159663229873336e-03 1.719144965065429187e-03 -4.091107210482322620e-04 9.999984385832846323e-01
6.590750868872473411e+00 9.239480000000000000e+05 7.772393449610333072e-01 7.811644173015221959e-01 9.949753569753627680e-01 6.557634698492071479e+00 5.122590888123802699e+00 2.531968758554514407e-02 1.300000000000000000e+01 0.000000000000000000e+00 -7.616381737759649884e-01 -6.480024562361608176e-01 3.300895565096286259e-04 -6.480021942725502360e-01 7.616381946735037989e-01 6.454707163094305922e-04 6.696754234975926812e-04 -2.777163806710787608e-04 9.999997372041851129e-01
7.696669794067012127e+00 1.160613000000000000e+06 7.774717745961003956e-01 7.809432649182546093e-01 9.955547470884231753e-01 7.662456150255490428e+00 5.983943523273482334e+00 2.242705790602034580e-02 1.300000000000000000e+01 0.000000000000000000e+00 -7.639051063305771772e-01 -6.453274074726931264e-01 1.235186885506523889e-03 -6.453275189599753103e-01 7.639059262134402228e-01 3.594008189096720152e-04 1.175497780530068703e-03 5.225519674913470247e-04 9.999991725718623270e-01
8.988160392874613436e+00 1.447270000000000000e+06 7.765685187401363265e-01 7.781823401137261120e-01 9.979261655136585363e-01 8.969520435883101328e+00 6.979922402493400568e+00 1.043823812372965572e-02 1.200000000000000000e+01 0.000000000000000000e+00 -4.968628040326399375e-01 -8.678288758001190262e-01 6.295207097337659563e-04 -8.678275337971883552e-01 4.968631542066130335e-01 1.541938826691430231e-03 1.650924683996857212e-03 -2.198166440741805561e-04 9.999986130632035897e-01
