#r n s p q b c T nloop nnorth e00 e01 e02 e10 e11 e12 e20 e21 e22 
1.000000000000000056e-01 0.000000000000000000e+00 1.390016315164167421e-08 5.937974218545806578e-08 2.340893146391226087e-01 2.340893146391226365e-02 1.390016315164167587e-09 9.452021927717860761e-01 4.000000000000000000e+00 0.000000000000000000e+00 2.392140329027332354e-02 8.240761769076317966e-01 -5.659736929557114271e-01 8.829103470112050767e-01 2.481402250809850996e-01 3.986172949550889077e-01 4.689318560357978449e-01 -5.092395147178386816e-01 -7.216495209204827344e-01
1.167798623737652253e-01 0.000000000000000000e+00 2.523766755718319724e-03 1.981925226140084789e-02 1.273391509645145914e-01 1.487064852442812786e-02 2.947251343962693630e-04 9.837910067887345456e-01 6.000000000000000000e+00 0.000000000000000000e+00 -4.311835578710249139e-01 9.015398904725459017e-01 -3.614644254188283806e-02 7.111730086235213966e-01 3.642444278855551110e-01 6.012977204012113219e-01 -5.552600212756658715e-01 -2.335633161287830051e-01 7.982070446518703122e-01
1.363753625603554565e-01 2.000000000000000000e+01 3.013563232324393271e-01 4.093700734869199498e-01 7.361464424244684723e-01 1.003922379831527212e-01 4.109757784067958469e-02 5.038454599648977128e-01 1.000000000000000000e+01 0.000000000000000000e+00 -8.233340959832412542e-01 2.517628739633872015e-01 5.086614018039457008e-01 1.943991885800055996e-02 -8.831941329634137583e-01 4.686045380209181710e-01 5.672239909826219950e-01 3.957064300623626130e-01 7.222695931998295293e-01
1.592589607097064375e-01 0.000000000000000000e+00 nan nan 9.993726569650876227e-09 1.591590507099578117e-09 nan nan 2.300000000000000000e+01 0.000000000000000000e+00 7.906532499896259392e-01 -6.122581561062432343e-01 -2.718190983931204844e-03 -6.082441119616039948e-01 -7.859620565632120526e-01 1.109177438779107572e-01 7.004668832201633999e-02 8.604415101742379779e-02 9.938258728423250421e-01
1.859823951346839810e-01 0.000000000000000000e+00 9.828340669235650917e-03 9.878894760314935186e-02 9.948826166989481468e-02 1.850306519315321127e-02 1.827898337864069297e-03 9.901977352078955574e-01 2.000000000000000000e+01 0.000000000000000000e+00 -8.292747355297862555e-01 4.069922771738125333e-01 3.829630521772008911e-01 4.370889206317740694e-02 7.304179470154147369e-01 -6.816004367900564409e-01 5.571292002458786419e-01 5.484951312442625238e-01 6.235063313509546790e-01
2.171899850777161967e-01 0.000000000000000000e+00 3.704684687141160133e-03 1.053988933298616176e-01 3.514918012987854057e-02 7.634049907902278921e-03 8.046204119178322319e-04 9.987782430565949054e-01 2.300000000000000000e+01 0.000000000000000000e+00 -7.195243332891629873e-01 2.947758357484913105e-01 6.288019882789523951e-01 3.485335644479121697e-01 -6.298800077897050986e-01 6.941005188299991246e-01 6.006738618069031865e-01 7.185808113536148456e-01 3.504747199105264222e-01
2.536341656633582242e-01 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 4.700000000000000000e+01 0.000000000000000000e+00 6.858509048782147621e-01 0.000000000000000000e+00 -7.277420808760023396e-01 -8.899442726820194771e-02 -9.924946060285928517e-01 -8.387162165686923299e-02 -7.222800898494562416e-01 1.222884172934963765e-01 -6.807033236314576907e-01
2.961936295945173936e-01 4.000000000000000000e+00 1.319728684191658237e-02 3.638065904823641755e-02 3.627555736254957086e-01 1.074458900077767537e-01 3.908952290507238317e-03 8.685596694341856105e-01 1.000000000000000000e+03 0.000000000000000000e+00 -6.576437176418463704e-01 -4.825218048220248912e-01 -5.785131359939090778e-01 3.860434586219974040e-01 -8.753060813591193590e-01 2.912210706506476177e-01 -6.468965826941567299e-01 -3.181150431901558218e-02 7.619139318135504935e-01
3.458945130003373558e-01 7.920000000000000000e+02 7.404584199958794688e-01 9.714185321318805633e-01 7.622444862883820393e-01 2.636561853719122106e-01 2.561205045814740067e-01 9.275261470151249243e-01 1.100000000000000000e+01 0.000000000000000000e+00 1.069649802455932691e-01 4.883579028150532020e-01 8.660629606207292941e-01 1.065979966154484426e-02 8.704470713635708012e-01 -4.921465885544252239e-01 9.942056435527991676e-01 -6.187450777716174688e-02 -8.790155638609814526e-02
4.039351362401994439e-01 8.260000000000000000e+02 4.924398276264410068e-01 7.310386051198002333e-01 6.736167203450789120e-01 2.720974617062657530e-01 1.989137488623867744e-01 7.211067182746914161e-01 1.000000000000000000e+03 0.000000000000000000e+00 -6.085293700966697833e-02 3.067007757801400447e-01 9.498587022253139889e-01 -9.980412634936259852e-01 -3.253053297037877822e-02 -5.343595033972708963e-02 -1.451056240619863491e-02 9.512499138294432388e-01 -3.080796082478237663e-01
4.717148961805858742e-01 1.367000000000000000e+03 4.985220824419444585e-01 6.825563231334031977e-01 7.303750116230481870e-01 3.445287727806603528e-01 2.351602923628313135e-01 6.208481814001031163e-01 1.000000000000000000e+03 0.000000000000000000e+00 -9.851278781304999288e-02 8.579419576332246722e-01 -5.042130779440089361e-01 -8.664562768149228766e-01 1.752500151444853493e-01 4.674836388151767386e-01 4.894371777923312572e-01 4.829317027534309470e-01 7.261048267780276788e-01
5.508680065562376882e-01 2.152000000000000000e+03 4.819856674793045470e-01 6.277887512065385422e-01 7.677513599168238612e-01 4.229296611682213380e-01 2.655104838330021311e-01 5.347965292815797245e-01 4.640000000000000000e+02 0.000000000000000000e+00 -9.987167427305854162e-01 3.051764519891755727e-03 5.055249274689453676e-02 3.059858031003087619e-03 9.999953152029267267e-01 8.271051969876985765e-05 -5.055200350569501871e-02 2.372878317414839344e-04 -9.987214019114870611e-01
6.433028999174784657e-01 3.630000000000000000e+03 4.034922836509060029e-01 4.192695457484193478e-01 9.623696444029817831e-01 6.190951830369907372e-01 2.595677561669536004e-01 8.820496749544100290e-02 6.000000000000000000e+01 0.000000000000000000e+00 -3.203882542216425211e-01 9.458459218699445392e-01 5.221933204095444148e-02 -9.468928418499307220e-01 -3.213568963828512537e-01 1.112165457761060683e-02 -2.730041410254624434e-02 4.588286422158760480e-02 -9.985737079257862581e-01
