#r n s p q b c T nloop nnorth e00 e01 e02 e10 e11 e12 e20 e21 e22 
1.000000000000000056e-01 0.000000000000000000e+00 2.886266012829614633e-02 4.244623545368179929e-02 6.799816242783572884e-01 6.799816242783572606e-02 2.886266012829614720e-03 5.380732342463151463e-01 4.000000000000000000e+00 0.000000000000000000e+00 -6.625847898026096874e-03 8.851023629925813818e-01 -4.653492292510873485e-01 8.768981127793633590e-01 2.288137523830701681e-01 4.227220913607068198e-01 4.806306252660383915e-01 -4.052629686331181702e-01 -7.776606768450164964e-01
1.167798623737652253e-01 0.000000000000000000e+00 6.985700718359919098e-09 2.757627151016855816e-08 2.533228872432587986e-01 2.958301190839261047e-02 8.157891684743842225e-10 9.358275147987392684e-01 1.600000000000000000e+01 0.000000000000000000e+00 -7.786142560900717324e-01 3.261015114199500853e-01 5.361134623033900759e-01 3.314088515216101483e-01 9.391882680797547511e-01 -8.996427198881962184e-02 -5.328489592243114137e-01 1.076252821179808361e-01 -8.393383020585878374e-01
1.363753625603554565e-01 0.000000000000000000e+00 5.783364906748063999e-02 2.307011808318266410e-01 2.506864024663983392e-01 3.418744902530625879e-02 7.887084859766035211e-03 9.403013827693285087e-01 1.200000000000000000e+01 0.000000000000000000e+00 -7.844905471925688323e-01 -5.814245275122911227e-01 2.156851876523124545e-01 -1.604685532848489915e-01 5.262773445918770276e-01 8.350341310245890103e-01 5.990195529130680763e-01 -6.204656923444131778e-01 5.061599548081575639e-01
1.592589607097064375e-01 5.400000000000000000e+01 5.886600544811823044e-01 9.095661978120455071e-01 6.471876988142253317e-01 1.030704402972600353e-01 9.374938848799226065e-02 8.893136273809612025e-01 1.400000000000000000e+01 0.000000000000000000e+00 -9.782008502061748656e-01 1.138702825326484702e-02 -2.073485766613208658e-01 -1.756322841338984753e-01 -5.781200856407805455e-01 7.968252426652951970e-01 -1.107989053457924117e-01 8.158722339718738059e-01 5.675174890766963021e-01
1.859823951346839810e-01 7.000000000000000000e+01 5.822770070491430916e-01 9.223472879950642689e-01 6.312990937663590651e-01 1.174105175050229044e-01 1.082932724028548982e-01 9.099905908408537636e-01 1.000000000000000000e+03 0.000000000000000000e+00 -9.760479614442912899e-01 -1.922845352786591022e-01 1.017695163254382779e-01 -1.235054136042623707e-01 1.046357414088714410e-01 -9.868119245480648782e-01 -1.790999435256294403e-01 9.757448534901355108e-01 1.258776831556350784e-01
2.171899850777161967e-01 9.000000000000000000e+01 4.873833324806052247e-01 9.421486835759315115e-01 5.173104213559356346e-01 1.123546426948427435e-01 1.058547787085902386e-01 9.605649367111850356e-01 1.000000000000000000e+03 0.000000000000000000e+00 -9.501716372212299921e-01 -2.361672190038001037e-02 -3.108313212451524477e-01 -3.062902218624138917e-01 2.561497262541260200e-01 9.168280197132987475e-01 5.796688547610903686e-02 9.663485748872483461e-01 -2.506197757591831499e-01
2.536341656633582242e-01 4.880000000000000000e+02 9.124016951228085537e-01 9.617637835393528789e-01 9.486754551778934230e-01 2.406165075593516001e-01 2.314162426923072891e-01 5.970212635751054320e-01 6.100000000000000000e+01 0.000000000000000000e+00 3.775686505132025417e-01 4.562600189603791857e-03 9.259703541848134378e-01 3.921320037725307683e-01 9.051079736518000685e-01 -1.643534229922584688e-01 8.388530298967626919e-01 -4.251573105468636760e-01 -3.399512546256870937e-01
2.961936295945173936e-01 7.100000000000000000e+02 8.240836887228570884e-01 9.123970496324816937e-01 9.032073142441685576e-01 2.675242526822961264e-01 2.440883388524615061e-01 5.740870746132290536e-01 1.000000000000000000e+03 0.000000000000000000e+00 -9.218861038565448474e-02 6.687564603531385155e-01 7.377438965190451503e-01 -9.764463563441518890e-01 -2.058636662331476130e-01 6.459616170700033244e-02 -1.950737637341108943e-01 7.144123092871432767e-01 -6.719830943123643596e-01
3.458945130003373558e-01 1.086000000000000000e+03 8.016356292494952740e-01 8.610941889084740009e-01 9.309499931310085685e-01 3.220104945017175924e-01 2.772813655829731716e-01 3.730818503554390597e-01 2.200000000000000000e+01 0.000000000000000000e+00 -1.618946024278782383e-02 9.952875183607499121e-01 9.560678413348405735e-02 9.985155167797816755e-01 1.111999925124522448e-02 5.332080613286049875e-02 5.200638544499114335e-02 9.632809253770015234e-02 -9.939900575262285987e-01
4.039351362401994439e-01 1.448000000000000000e+03 6.660826809702063978e-01 7.174765893668701988e-01 9.283685221813079425e-01 3.750006654884192603e-01 2.690541984849376123e-01 2.482895549420998660e-01 4.300000000000000000e+01 0.000000000000000000e+00 -7.032651977488133532e-01 -7.080770462732250969e-01 -6.359998566279280452e-02 -7.082516280064666825e-01 7.055635596573188728e-01 -2.365786782197781823e-02 -6.162542544690291502e-02 -2.840703829472257524e-02 9.976950170837832754e-01
