#r n s p q b c T nloop nnorth e00 e01 e02 e10 e11 e12 e20 e21 e22 
1.000000000000000056e-01 0.000000000000000000e+00 nan nan 8.268324645964518396e-09 8.268324645964519223e-10 nan nan 7.000000000000000000e+00 0.000000000000000000e+00 5.622619004313286206e-01 -5.847484738429636897e-01 5.847484738429638007e-01 -6.752194422819862707e-01 8.360922102690371283e-02 7.328630178441788434e-01 -4.774308956150133953e-01 -8.068944915523955652e-01 -3.478232588753189525e-01
2.326918168776363205e-01 3.970000000000000000e+02 9.100088949852199738e-01 9.272940944364138627e-01 9.813595281638244350e-01 2.283543316186202321e-01 2.117516231489209866e-01 2.148746659556515226e-01 2.100000000000000000e+01 0.000000000000000000e+00 2.225387844322461450e-01 9.575804903518357891e-01 1.830740121397792519e-01 9.154407152555781302e-01 -2.698321729727931606e-01 2.985948681426665585e-01 3.353278787631208679e-01 1.011444656237720785e-01 -9.366562927765484936e-01
5.414548164181542944e-01 2.563000000000000000e+03 4.802131826326257458e-01 5.052347677596625841e-01 9.504753300371847624e-01 5.146394453352685083e-01 2.600137406439259613e-01 1.255487875840921863e-01 5.000000000000000000e+01 0.000000000000000000e+00 -8.249248581225778754e-01 -5.648120636900147984e-01 -2.205246384583187461e-02 -5.648513416315316116e-01 8.251775215360382942e-01 -5.001980477726319929e-03 -2.102237637622844657e-02 -8.330105753678707092e-03 9.997443018240357304e-01
1.259921049894873413e+00 3.580300000000000000e+04 6.610911655322097014e-01 6.764227392900894476e-01 9.773343312290619922e-01 1.231364096700423794e+00 8.329226753535672323e-01 7.961085465674513917e-02 3.500000000000000000e+01 0.000000000000000000e+00 -4.747565346606111292e-01 -8.801103030525314619e-01 -3.476673385466678111e-03 -8.801170228092889403e-01 4.747550351551747538e-01 1.297210901306050657e-03 -5.088795158688097509e-04 -3.675738781525238197e-03 9.999931149693223054e-01
2.931733182224171674e+00 2.408410000000000000e+05 7.614413596735245537e-01 7.720105775517022151e-01 9.863094908470086963e-01 2.891596262258803396e+00 2.232342900472762182e+00 6.471473501255652072e-02 1.600000000000000000e+01 0.000000000000000000e+00 -6.555920591274106979e-01 -7.551148123434618942e-01 -8.198710752659565644e-04 -7.551151411701311211e-01 6.555921742668734398e-01 1.568937399080080897e-04 -4.190282738836224874e-04 -7.219553527512585778e-04 9.999996515978263334e-01
6.821903207721969231e+00 9.726110000000000000e+05 7.771674948758682255e-01 7.811956542263315262e-01 9.948435973386813291e-01 6.786726727866413178e+00 5.301761426230932273e+00 2.597459418705283518e-02 1.300000000000000000e+01 0.000000000000000000e+00 -7.881937201466682197e-01 -6.154257807361752652e-01 1.329634019061117162e-03 -6.154257399806160045e-01 7.881947223760732424e-01 4.880448909527490553e-04 1.348365924564512430e-03 4.336170818855095144e-04 9.999989969422767855e-01
1.587401051968200072e+01 3.039937000000000000e+06 7.662416483612508600e-01 7.709911046906068322e-01 9.938398039867633038e-01 1.577622350336457835e+01 1.216332798670497262e+01 2.974866873617822496e-02 1.200000000000000000e+01 0.000000000000000000e+00 1.509989748612191596e-01 -9.885278132167656384e-01 3.474491004478393475e-03 -9.885329049493722930e-01 -1.509928520810175367e-01 1.963276036304528738e-03 1.416129660612996943e-03 3.731101354729066122e-03 9.999920366980253883e-01
3.693752348959518628e+01 7.701844000000000000e+06 7.847630741105289243e-01 7.970597017032347020e-01 9.845725137446678099e-01 3.636767035365344469e+01 2.898720448372458947e+01 7.970118666252772044e-02 1.000000000000000000e+01 0.000000000000000000e+00 3.253061425257813138e-02 -9.994493421243212383e-01 -6.540004863296047799e-03 9.994434625946351236e-01 3.248068713855164352e-02 7.600660487990018588e-03 7.384051272582570213e-03 6.783619260357955094e-03 -9.999497278846247728e-01
8.595059451754268309e+01 1.552195100000000000e+07 7.907843463601488265e-01 8.106088290702611054e-01 9.755437123318156933e-01 8.384856205277019114e+01 6.796838470482117600e+01 1.289554534002032016e-01 9.000000000000000000e+00 0.000000000000000000e+00 -2.959193672092564897e-01 -9.547052371816374672e-01 3.113901424944082175e-02 -9.552089584832089697e-01 2.956669412674773900e-01 -1.252619155839151954e-02 -2.752043585520169700e-03 3.345100804890327462e-02 9.994365694313049886e-01
2.000000000000000284e+02 2.814297100000000000e+07 7.707789318569272519e-01 8.033356340395940709e-01 9.594731009018552248e-01 1.918946201803710778e+02 1.541557863713854601e+02 1.956427698933325410e-01 8.000000000000000000e+00 0.000000000000000000e+00 -9.710690288389957070e-01 2.365290795777196808e-01 3.284715731698076291e-02 2.357180687700226596e-01 9.714534194617924223e-01 -2.674408105210823727e-02 3.823523617058743884e-02 1.822768032711785668e-02 9.991025064450953508e-01
