#r n s p q b c T nloop nnorth e00 e01 e02 e10 e11 e12 e20 e21 e22 
1.000000000000000056e-01 3.000000000000000000e+01 7.877443706600606443e-01 9.287099504938076677e-01 8.482135571404250118e-01 8.482135571404250673e-02 7.877443706600606443e-02 7.392996464507600729e-01 7.000000000000000000e+00 0.000000000000000000e+00 -7.650820062196156401e-01 -2.634117697574495098e-01 -5.875914935669309669e-01 -1.635293816290771529e-01 -8.031090116534223000e-01 5.729520544906653301e-01 -6.228223383140488734e-01 5.344437809108752990e-01 5.713686900265960711e-01
2.326918168776363205e-01 0.000000000000000000e+00 nan nan 2.104811553703257385e-02 4.897724246162515720e-03 nan nan 4.600000000000000000e+01 0.000000000000000000e+00 -9.997658173933350323e-01 -5.122461015952862323e-03 2.102547894762682792e-02 1.753509169656015595e-02 3.776160599830620801e-01 9.257962150506240384e-01 -1.268191353977319788e-02 9.259480933810536607e-01 -3.774378060461898721e-01
5.414548164181542944e-01 2.301000000000000000e+03 4.003688419294613166e-01 4.447948497213750074e-01 9.001202288656384720e-01 4.873744332747113051e-01 2.167816378064655047e-01 2.260122554424628116e-01 1.120000000000000000e+02 0.000000000000000000e+00 -9.002360061640821698e-01 4.342002296327296951e-01 3.233100358211948855e-02 4.341695852968013303e-01 9.007926510709436396e-01 -8.328924287387018399e-03 3.273995126669866640e-02 -6.539140881357818902e-03 9.994425122174802611e-01
1.259921049894873413e+00 3.670100000000000000e+04 7.435577739132772646e-01 7.628170902745684545e-01 9.747523795588284301e-01 1.228111041441285245e+00 9.368240911663111570e-01 1.115083058687169060e-01 2.700000000000000000e+01 0.000000000000000000e+00 -6.358482549970804198e-01 7.717972180305101570e-01 -5.104004068660987145e-03 7.718139698421593309e-01 6.358380086669100928e-01 -3.636301828132668112e-03 -4.388321483731472128e-04 6.251477814384641396e-03 9.999803630329358040e-01
2.931733182224171674e+00 2.135510000000000000e+05 8.174167833996556221e-01 8.225335981397744467e-01 9.937792027563482344e-01 2.913495464525069245e+00 2.396447907599718707e+00 3.737728222753910340e-02 1.400000000000000000e+01 0.000000000000000000e+00 4.674091737057498586e-01 -8.840304212348883972e-01 4.344958799987559163e-03 -8.840336845368191865e-01 -4.674197373902617691e-01 -1.798249780866123526e-03 -3.620627012526300703e-03 3.000571492922501915e-03 9.999889437542557324e-01
6.821903207721969231e+00 7.988480000000000000e+05 8.053779830811615970e-01 8.079628396989733119e-01 9.968007728934974443e-01 6.800078390061888634e+00 5.494210646210025750e+00 1.818108076815896576e-02 1.200000000000000000e+01 0.000000000000000000e+00 -9.978789448479843394e-01 6.491148068171816166e-02 -4.910305976210906607e-03 -6.490656365288405283e-02 -9.978906781133192183e-01 -1.154352335336117363e-03 -4.974879279660067433e-03 -8.331928029680080172e-04 9.999872781020294754e-01
1.587401051968200072e+01 2.415553000000000000e+06 7.852344592113150723e-01 7.975249623639374397e-01 9.845891931505289518e-01 1.562937920963670990e+01 1.246482006593722325e+01 7.976936563458154883e-02 1.100000000000000000e+01 0.000000000000000000e+00 9.970894386279876009e-01 7.338969029642707087e-02 -2.065441199160532315e-02 -7.360999247669787471e-02 9.972358076982241748e-01 -1.011498156452028674e-02 1.985498386060612075e-02 1.160591240121278123e-02 9.997355062281372273e-01
3.693752348959518628e+01 5.864442000000000000e+06 7.656531290564434489e-01 8.073537907345647024e-01 9.483489615622164859e-01 3.502966204403757189e+01 2.828133043940443514e+01 2.432099028556189146e-01 1.000000000000000000e+01 0.000000000000000000e+00 -9.947518512054608353e-01 9.620569834570719125e-02 3.483128089983755782e-02 9.841555247651437299e-02 9.927812842836628571e-01 6.855436242007872938e-02 -2.798452347371725712e-02 7.162251867880542466e-02 -9.970391573373900140e-01
8.595059451754268309e+01 1.222140300000000000e+07 7.501762184649108933e-01 8.581731923712534460e-01 8.741548036382590370e-01 7.513412507307414501e+01 6.447809196998106529e+01 5.394193817367033406e-01 9.000000000000000000e+00 0.000000000000000000e+00 -9.985883175272443069e-01 4.563629046580870707e-02 2.717905610259028354e-02 5.044687401095449691e-02 9.750174943394254168e-01 2.163238281710803124e-01 -1.662783812256716370e-02 2.173895460333556962e-01 -9.759432874274922565e-01
2.000000000000000284e+02 2.123775100000000000e+07 7.589378473813175319e-01 8.971216352340800615e-01 8.459698412950356072e-01 1.691939682590071357e+02 1.517875694762635419e+02 6.705803762279219926e-01 9.000000000000000000e+00 0.000000000000000000e+00 -9.945530314561170648e-01 9.374255594092538446e-02 -4.556973586834132256e-02 1.018559728802853753e-01 9.668923107492474189e-01 -2.339756829300664309e-01 -2.212754866808544149e-02 2.373427745258804289e-01 9.711739179829215196e-01
